id,mood_id,song_id
13,7,13
14,7,14
15,7,15
16,7,16
17,7,17
18,7,18
19,7,19
20,7,20
21,7,21
22,7,22
23,8,23
24,8,24
25,8,25
26,8,26
27,8,27
28,8,28
29,8,29
30,8,30
31,8,31
32,8,32
33,9,33
34,9,34
35,9,35
36,9,36
37,9,37
38,9,38
39,9,39
40,9,40
41,9,41
42,9,42
43,10,43
44,10,45
45,10,47
46,10,48
47,10,49
48,10,50
49,10,51
50,10,52
51,11,53
52,11,54
53,11,55
54,11,56
55,11,57
56,11,58
57,11,59
58,11,61
59,11,62
60,12,63
61,12,64
62,12,65
63,12,66
64,12,67
65,12,68
66,12,69
67,12,70
68,12,71
69,12,72
70,13,73
71,13,74
72,13,75
73,13,77
74,13,78
75,13,79
76,13,80
77,13,81
78,13,82
79,14,85
80,14,87
81,14,89
82,14,90
83,14,91
84,14,92
85,15,94
86,15,96
87,15,98
88,15,101
89,16,103
90,16,104
91,16,105
92,16,106
93,16,107
94,16,108
95,16,109
96,16,110
97,17,112
98,17,113
99,17,114
100,17,115
101,17,116
102,17,117
103,17,119
104,17,120
105,18,121
106,18,122
107,18,123
108,18,124
109,18,125
110,18,126
111,18,127
112,18,128
113,19,130
114,19,132
115,19,133
116,19,134
117,19,135
118,19,136
119,20,137
120,20,138
121,20,139
122,20,140
123,20,141
124,20,142
125,20,143
126,20,144
127,20,145
128,21,146
129,21,147
130,21,148
131,21,149
132,21,150
133,21,151
134,22,152
135,22,153
136,22,154
137,22,155
138,22,157
139,22,158
140,22,159
141,22,160
142,22,161
143,23,166
144,23,167
145,23,168
146,23,169
147,23,170
148,23,171
149,24,172
150,24,173
151,24,174
152,24,175
153,24,176
154,24,177
155,24,178
156,24,179
157,24,180
158,24,181
159,25,182
160,25,183
161,25,184
162,25,185
163,25,186
164,25,187
165,25,188
166,25,189
167,25,190
168,25,191
169,26,192
170,26,193
171,26,194
172,26,195
173,27,204
174,28,206
175,28,207
176,28,208
177,28,209
178,28,210
179,28,211
180,28,212
181,28,213
182,28,214
183,28,215
184,29,217
185,29,218
186,29,220
187,29,224
188,30,228
189,30,230
190,30,232
191,30,233
192,30,234
193,30,235
194,31,236
195,31,238
196,31,240
197,31,241
198,31,244
199,31,245
200,32,246
201,32,248
202,32,249
203,32,250
204,32,251
205,32,252
206,32,253
207,32,254
208,32,255
209,33,259
210,33,264
211,34,266
212,34,267
213,34,268
214,34,269
215,34,270
216,34,271
217,34,272
218,34,273
219,34,274
220,34,275
221,35,276
222,35,277
223,35,285
224,36,286
225,36,288
226,36,290
227,36,291
228,36,293
229,37,296
230,37,298
231,37,300
232,37,302
233,37,303
234,37,305
235,38,310
236,38,315
237,39,318
238,39,319
239,39,320
240,39,321
241,39,325
242,40,328
243,40,329
244,40,330
245,40,331
246,40,332
247,40,333
248,40,334
249,40,335
250,41,336
251,41,337
252,42,338
253,42,343
254,42,344
255,42,345
256,43,348
257,43,349
258,43,351
259,43,352
260,43,353
261,43,354
262,43,355
263,43,357
264,44,361
265,44,367
266,45,369
267,45,376
268,46,379
269,46,385
270,46,386
271,47,389
272,48,398
273,48,399
274,48,400
275,48,401
276,48,402
277,48,403
278,48,404
279,48,406
280,49,410
281,49,412
282,49,415
283,49,416
284,50,418
285,50,419
286,50,421
287,50,422
288,50,425
289,50,426
290,51,427
291,51,428
292,51,429
293,51,430
294,51,431
295,51,432
296,51,433
297,51,434
298,51,435
299,51,436
300,52,437
301,52,439
302,52,441
303,52,442
304,54,455
305,54,460
306,54,462
307,54,463
308,54,464
309,55,467
310,55,468
311,55,471
312,55,472
313,55,473
314,57,493
315,58,495
316,58,496
317,58,497
318,58,499
319,58,500
320,58,501
321,58,502
322,58,503
323,59,507
324,59,508
325,59,509
326,59,510
327,59,511
328,59,512
